Comment,Designator,Footprint,LCSC
2.7K,R12,R_0603_1608Metric,C13167
100u,"C4,C7",CP_Elec_6.3x5.9,C134878
JST,J1,JST-SR-4,C145956
100n,"C1,C10,C11,C12,C16,C17,C18,C19,C2,C20,C21,C22,C5",C_0603_1608Metric,C14663
MIC2026-2BM,U1,SOIC-8_3.9x4.9mm_P1.27mm,C148072
1u,C13,C_0603_1608Metric,C15849
30p,"C8,C9",C_0603_1608Metric,C1658
HRO-TYPE-C-31-M-12,USB1,HRO-TYPE-C-31-M-12-Assembly,C165948
10u,"C14,C15,C3,C6",C_0603_1608Metric,C19702
10k,"R10,R11,R3,R4,R5,R6,R7,R8,R9",R_0603_1608Metric,C25804
5.1k,"R1,R2",R_0402_1005Metric,C25905
FE1.1,U5,LQFP-48_7x7mm_P0.5mm,C28958
500mA,F1,Fuse_1206_3216Metric,C70076
USB_A,"J2,J3,J4",USB-SMT-04F-S1-B1-R9A,C718022
SRV05-4,"U2,U3,U4",SOT-23-6-routable,C85364
"220 @ 100MHz, 2A","L1,L2,L3",L_0603_1608Metric,C85832
12MHz,Y1,Crystal_SMD_3225-4pin_3.2x2.5mm,C9002
